Unique ID,Agency,Chapter or Office Name,Office Type,Office Type 2,LongName,Website,Phone Number Advertise Google,Hours of Operation,Main Contact,Contact Email,CSC/CM First Name,CSC/CM Last Name,AMS First Name,AMS Last Name,IT Contact,IT Email,IT Phone,PO Box,Address,City,State,ZIP,Latitude,Longitude,Elevation,Plus Code,Google Maps,GPS Source,Phone 1,Phone 2,NN Branch,Division,Driving Directions,Office Number/Location,Building Name/None,Chapter LGA,In-House IT,3rd Party IT,Emergency Response Team,Survey Conducted by,Survey Date,Title,Email,Surveyor Phone,Acknowledged by,Contact Title,Section2,Internet Provider,Internet Speed Contract (down),Internet Speed Contract (up),Internet Speed Contract (original), Internet MRC* , Cost /mb contract , Cost/mb tested ,Survey/Comments,Media,My IP Address,Internet Speed Test Trial 1 (down),Internet Speed Test Trial 1 (up),Tested To,Internet Speed Test Trial 2 (down),Internet Speed Test Trial 2 (up),Tested to2,Internet Speed Test Trial 3 (down),Internet Speed Test Trial 3 (up),Average Trial DL,Average Trial UL,Tested to3,Trace route to navajo-nsn.gov,Trace route to www.google.com,Trace route to www.nnoc.org,Phone Provider,Phone Lines Qty, Phone MRC* , Average MRC per line , Survey/ Comments ,Phone Media,VoIP,# of Trunks,VoIP MRC*,VoIP Media,Two Way Radio,Model,Purpose,Fiber Optic,Comments  Fiber Optics,Cellular Service Available,Operators,Emergency Call,Media Emergency ,Who is receiving the call?,Comments Network Services,Section3,Existing Network Cabling,Number of Network Drops,Comments Net Cabling,Routers,Routers Qty,Comments Routers,Switches,Switches Qty,Comments Switches,Firewall,Firewall Qty,Comments Firewall,Wi-Fi APs,AP Qty,Public Wi-Fi,Computers,Computers Qty,Public Access Wi-Fi,Comments Computers,Printers,Qty,Public Access Computers,Comments PC printers,Faxes,Fax Lines Qty,Servers,ServerQty,Purpose/ Comments Server,UPS,UPS Qty,Purpose/ Comments UPS,Others,Others Qty,Purpose/ Comments Others,Email Provider,Email Comments,Web Browsing Provider,Web Comments,Cloud Storage,Cloud Comments,Data Base Provider,DB Comments,Service Desk Provider,Telecom and IT Comments,Section 4 - Site Plan,IT Room layout,Fiber Demark,Telecommunications/radio/cellular towers within sight of your building,Does DCD/NNAA have address point for this building?,CAD Drawing or Sketch available and provided to the surveyor,Section 5 Picture Key,Building Front Pic,Building Side Pic,Building Entrance Pic,IT Room Pic,Reception Area/Desk Pic,Telco Services Demarcation Pic,Telco Services Entry Port Pic,Fiber Optic Entry Pic,"Wireless Antennas (Microwave, Cellular, Satellite)  Pic",Router/Telecom Rack Pic,Printers Pic,Wi-Fi Access Points Pic,List of additional (Others),Short Video Clip of the Facilities,Section 6 - Entities,Navajo Head start,Office of Dine Youth,Regional Business Development Office,Navajo Department of Workforce Development,Navajo Department of Veterans Affairs,Office of Labor Relations,Navajo Office of Vital Records,Department of Child Support Enforcement,Community Health Representative/Outreach Program (CHR),Department of Behavioral Health (DBH),Food Distribution Program,Navajo Area Agency on Aging (NAAA),New Dawn Program,Office of Environmental Health & Code Enforcement,Special Diabetes Project,Child Care Development Fund (CCDF),Department of Self Reliance,Department of Family Services,Facilities Maintenance Department,Fleet Management Department,Abandoned Mine Lands Reclamation (AML),Agriculture Department,Land Department,I H S,Senior Citizens Center,Convenience Store ,Commercial Outlets,Multi-purpose Complex,Feed/Tack Store,Solid Waste Transfer Station,Museum,Community Cemetery,Clinic,NTUA Wireless Store/Office,NTUA Regional Office,Cellular One Store,Other Telecommunication Store,Libraries,Churches,School,List of additional (Others) Entities,Fish & Wildlife,Water Resources,Election Administration,Judicial District Courts,Police Districts,Office of Navajo Scholarship & Financial Assistance,Administrative Service Center,Emergency Medical Services,Day Care Centers,DCD/ASC Office,Navajo Department of Transportation,Navajo Water & Sanitation,Navajo Water Development,Criminal Investigations Office,Capital Projects Management Office,Housing Improvement Program,Parks & Recreation,List of additional (Others) 2,Lat,Long
1,Chinle,Black Mesa,Chapter House,Chapter House,Black Mesa_Chapter House,,,,Albert Lee,blackmesa@navajochapters.org,Albert,"Lee, CSC",,(Vacant),Sylvia Jordan,syl@navajochapters.org,,PO Box 189,"Indian Rte 8066, Black Mesa, AZ",Pinon,AZ,86510,36 20 44.48 N,110 03 54.90 W,6695.5,858F8WWM+7V,,AMC Survey,(928) 675-0009,,Executive,Community Development,21 miles north of pinon Bashas Rte. 8066,,,No,No,No,Yes,Ferle Belingachee,27/11/2017,Sr. Information System Technician,fbelingachee@navajo-nsn.gov,928-871-6556,Albert Lee,Community Service Coordinator,,Wild Blue,15,3,DSL,, $-   , $-   ,,,,15.86,2.59,Durango CO,17.24,2.73,Taos NM,17.01,2.65,16.7,2.66,Monte Vista CO,30,20,30,CellularOne,2,, $-   ,,,,,,,No,,,,,Yes,CellularOne,,,,,,Yes,2,includes DSL,No,,,no,,,no,,,Yes,,PC's,Yes,2,no,,Yes,3,no,,no,,No,,,no,,,,,,navajochapters.org.google.gmail,,"internet explorer, Chrome",,None,,MIP Software; WINDS-financial,requires internet connectivity,WR,,,no,,Yes,,no,,Y,Y,Y,N,N,N,N,N,Y,N,N,N,,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NTUA radio/tower,36.3457,-110.065271
2,Chinle,Blue Gap/Tachee,Chapter House,Chapter House,Blue Gap/Tachee_Chapter House,tachee.navajochapters.org,(928) 349-0507,"8AM–12PM, 1–5PM",Ella Kaye,ekaye@navajochapters.org,Ella M.,"Kaye, CSC",Antoinette,"Dan, AMS",Sylvia Jordan/Farrell Franklin,farrell.franklin@nativesatnet.com,505-870-8317,PO Box 4427,7000 Blue Gap,Blue Gap,AZ,86520,36 10 16.57 N,109 56 42.70 W,6500.3,858G53C3+GW,"https://www.google.com/maps/place/Blue+Gap%2FTachee+Chapter/@36.1712151,-109.9459866,18z/data=!3m1!4b1!4m5!3m4!1s0x8730675e676bf83d:0xae23fffbbf0dbf64!8m2!3d36.1712134!4d-109.9451476?hl=en",AMC Survey,(928) 349-0507,,Executive,Community Development,8 miles North of Blue gap,,,No,no,Yes,no,Ferle Belingachee,28/11/2017,Sr. Information System Technician,fbelingachee@navajo-nsn.gov,928-871-6556,Ella M. Kaye,AMS,,LBI Sat LLC ,,,,$82.25 ,  ,$163.41 , $329 Quarterly Bill ,,64.118.55.11,0.73,0,Phoenix AZ,0.57,0,Tucson AZ,0.21,0,0.5,0,Taos NM,30,21,30,CellularOne,1,$53.00 ,$53.00 , AMC phone survey ,,None,,,,Yes,Motorola,Emergency Use Only; purchased by Navajo County,,,Yes,NTUAW/CellularOne,Yes,Wireless,,,,Yes,4,includes satellite link,Yes,1,Satellite router-Direct 3000 series,Yes,1,CentreCOM FS724i,no,,PC's only,Yes,1,Yes,Yes,8,Yes,2 PCs; 3 laptops and 3 PC for Public usage,Yes,2,Yes,,Yes,1,No,,,Yes,4,Belkin Surge protector,,,,navajochapter.org,"Gmail, yahoo","internet explorer, Chrome",,None,,MIP Software,requires internet connectivity,WR (Sylvia Jordan) and Farrell (for Satellite),,,no,Yes,,,,,Y,n,N,n,N,n,N,N,y,Y,N,Y,CHAPTER BILL,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.171216,-109.945147
4,Chinle,Chinle,Chapter House,Chapter House,Chinle_Chapter House,chinle.navajochapters.org,(928) 674-2052,8AM–5PM,Walton Yazzie,chinle@navajochapter.org,Walton,"Yazzie, CM",Daryane,"Begay, AA",Sylvia Jordan,syl@navajochapters.org,,PO Box 1809,Indian Rte 7,Chinle,AZ,86503,36 09 12.18 N,109 33 31.38 W,5505.9,858G5C3R+9G,"https://www.google.com/maps/place/Chinle+Chapter+House/@36.1533955,-109.5609128,17z/data=!3m1!4b1!4m5!3m4!1s0x873a9d4246f5ed5b:0x791bf99f38b092b7!8m2!3d36.1533912!4d-109.5587241?hl=en",CT Survey,(928) 674-2052,"(928) 674-2054, 2418",Executive,Community Development,"1.5 miles east of Hwy 191 & N7 Junction, located across Chinle Chevron",,,Yes,no,Yes,,team 7,16/10/2017,PIST,,928-871-6520,Daryane Begay,Acting AA,,Frontier,10,3,6.04 mbps,$700.00 ,$70.00 ,  , $400 total w/phone. No breakdown was given ,Copper,,6.04,,,,,,,,,,,,,,Frontier,6,, $-   , $400 total w/internet. No breakdown was given ,Copper,None,,,,Yes,Motorola,Contact Custodian,Yes,NTUA,Yes,NTUAW/CellularOne,,,,,,Yes,19,,Yes,2,1,Yes,1,24 port,no,,,Yes,2,Yes,Yes,13,Yes,2 community computers,Yes,11,no,,Yes,2,No,,,Yes,13,,,,,Navajo Nation,cornfields@navajochapters.org,,,,,,,,,,no,Yes,,,,,N,N,N,N,N,N,Y,N,N,Y,N,Y,PORT SWITCH,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.153392,-109.558723
22,Chinle,Forest Lake,Chapter House,Chapter House,Forest Lake_Chapter House, forestlake.navajochapters.org,(928) 677-3252,,Ella Benally,forestlake@navajochapters.org,Ella M.,"Benally, CSC",(Vacant),,Sylvia Jordan/DIT,syl@navajochapters.org,928-674-2052,PO Box 441,Indian Rte N 41,Pinon,AZ,86510,36 17 35.70 N,110 18 09.09 W,6652.2,858F7MVW+8X,"https://www.google.com/maps/place/Forest+Lake+Chapter/@36.2932862,-110.3046243,17z/data=!3m1!4b1!4m5!3m4!1s0x8730ff0008e5a8c5:0x971a2a26e076babb!8m2!3d36.2932819!4d-110.3024356?hl=en",AMC Survey,(928) 677-3252,(928) 677-3347,Executive,Community Development,,,,No,no,Yes,no,Ferle Belingachee,27/11/2017,Sr. Information System Technician,fbelingachee@navajo-nsn.gov,928-871-6556,Ella  M. Benally,CSC,,Frontier,5,1,,$210.00 ,$42.00 ,$243.24 , AMC phone survey ,,104.240.55.80,0.86,0.25,Rio Rancho NM,0.87,0.29,Durango CO,0.86,0.29,0.86,0.28,Taos NM,30,16,30,Frontier,,$118.00 ,  ,AMC phone survey,,None,,,,Yes,,Emergency use only- don’t use it,,,Yes,NTUAW/CellularOne,Yes,wireline,,"LGA Certified? *None MIP Software No compatible with Windows 10, was told it'll wipe out computers data. *Need ""Cash Registry system"" to calculate sells. Database *need printers networked.",,Yes,4,includes DSL-Gigast SE567 siemens,no,,,No,,,no,,PC's only,Yes,1,Yes,Yes,3,no,3 computers; 2 laptops,Yes,3,no,,Yes,1,No,,,Yes,3,,,,,navajochapter.org,"Gmail, yahoo","internet explorer, chrome",,None,,MIP software,requires internet connection,"WR( Sylvia Jordan), DIT and Hollands",Holland's Fixes quicker and comes on site,,no,,Yes,,Yes,,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.293282,-110.302436
24,Chinle,Hardrock,Chapter House,Chapter House,Hardrock_Chapter House,,(928) 725-3732,8AM–5PM,Rachel Goy,hardrock@navajochapters.org,(Vacant),,Christina,Howard-Coranguez,flagstaff computer Guy,DCD,,PO Box 20,Indian Rte 6621,Kykotsmovi Village,AZ,86039,36 2 14.23 N,110 30 29.34 W,6018.7,858F2FPR+WP,"https://www.google.com/maps/place/Hard+Rock+Chapter/@36.0371174,-110.5105933,17z/data=!3m1!4b1!4m5!3m4!1s0x8731af905adbb965:0x59da1d9ee57963af!8m2!3d36.0371131!4d-110.5084046?hl=en",CT Survey,(928) 725-3732,(928) 725-3730,Executive,Community Development,17 miles north of hwy 264 (Hopi culture turn off),7637,Hardrock Chapter Administration,No,No,Yes,,Theran Tallsat/ Sammie Legah III,28/11/2017,,,,Leta M. Fatt,Account Maintenance Specialist,,Hughes Net,10,3,6.86 mbps,, $-   ,  ,,Copper,67.44.224.189,6.86,,,,,,,,,,,,,,Frontier,7,$250.00 ,$35.71 ,AMC phone survey,Copper,,,,,Yes,Motorola,Compound Communication between Employees,,,Yes,NTUAW/CellularOne,no,,,,,Yes,12,,Yes,1,,Yes,1,,Yes,,1,Yes,1,Yes,Yes,6,no,,Yes,6,no,,Yes,1,Yes,1,,Yes,1,,,,,DCD,,Hughes Net,,,,,,Flagstaff Computer Guy,,,,,,,,,y,y,y,N,N ,Y,Y,N,Y,N,N,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.037115,-110.508405
26,Chinle,Low Mountain,Chapter House,Chapter House,Low Mountain_Chapter House,,,,"Mareita Denny, CSC",mdenny@yahoo.com/lowmountain,,,,,Sylvia Jordan,,,,P.O Box 4416,Blue Gap,AZ,86520,35 57 05.72 N,110 05 22.57 W,6214.2,857FXW26+J5,,AMC Survey,928-725-3700,,Executive,Community Development,Navajo route 67 Chinle Arizona 86503,,,No,no,No,Yes,Ferle Belingachee,28/11/2017,Sr. Information System Technician,fbelingachee@navajo-nsn.gov,928-871-6556,Ashley A. Begay,Community Liaison,,Frontier,,,,$322 ,  ,$832.76 ,HN AMC phone survey,,74.42.35.233,0.13,0,Durango CO,0.58,0,Taos NM,0.45,0,0.39,0,Abq NM,30,21,30,Frontier,6,$89.00 ,$14.83 ,AMC phone survey,,,,,,No,,,,,no,no,no,,,,,Yes,2,includes DSL line,no,,,no,,,no,,PC's only,Yes,1,Yes,Yes,3,no,"2 laptops, 3 desktops",Yes,5,no,,Yes,1,No,,,Yes,3,,,,,google,,"Microsoft Edge, internet explorer, chrome",,None,,MIP software,requires internet connectivity,"WR, local staff familiar with connectivity",,,Yes,Yes,no,,,,Y,Y,N,N,N,N,N,N,Y,Y,N,N,,N,,Yes,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.95158889,-110.0896028
28,Chinle,Lukachukai,Chapter House,Chapter House,Lukachukai_Chapter House, lukachukai.navajochapters.org,(928) 725-3732,8AM–5PM,Rozina Begay,rrbegay@navajo-nsn.gov,Berlinda,McKinley,(Vacant),,NN DIT,,,PO Box 248,3 4th Mile E Ravaho Ru 12,Lukachukai,AZ,86507,36 24 32.16 N ,109 14 49.38 W,6402.9,858GCQ53+H5,"https://www.google.com/maps/place/Lukachukai+Chapter+Government/@36.4091184,-109.3169517,12z/data=!3m1!4b1!4m5!3m4!1s0x873a6049ed00f7c7:0x15648b446cf1fdc1!8m2!3d36.4090007!4d-109.2469113?hl=en",CT Survey,(928) 787-2500,,Executive,Community Development,,,,No,no,no,no,team 7,16/10/2017,PIST,,928-871-6520,Rozina Begay,AMS,,Frontier,5,1,0.25 mbps,"$1,007.08 ",$201.42 ,"$4,028.32 ",$160-$200 AMC phone survey,Copper,,0.25,,,,,,,,0.25,,,,,,Frontier,3,$498.81 ,$166.27 ,,Copper,None,,,,Yes,,,,,Yes,NTUAW/CellularOne,,,,,,Yes,3,,Yes,1,,Yes,1,,no,,,No,,no,Yes,3,no,,Yes,3,no,,Yes,1,No,,,no,,,,,,Navajo nation,lukachukai@navajochapters.org,"Firefox, IE, Chrome",,None,,None,,None,,,,,,,,,N,N,N,N,N,Y,Y,N,N,Y,N,N,Security equipment,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.416951,-109.228712
29,Chinle,Many Farms,Chapter House,Chapter House,Many Farms_Chapter House,manyfarms.navajochapters.org,(928) 781-3607,8AM–5PM,Danny Francis/ Lewande Ben,manyfarms@navajochapters.org,Francine,"Harrison, CSC",Lewanda A.,"Ben, AMS",NN Community Development/ IT-Sylvia,,928-871-6221,PO Box 185,US-191 & Indian Rte 59,Many Farms,AZ,86538,36 21 14.3 N,109 37 11.5 W,5312,858G993J+H3,"https://www.google.com/maps/place/Many+Farms+Chapter+House/@36.3537919,-109.6222505,17z/data=!3m1!4b1!4m5!3m4!1s0x873080f50ac0fec9:0x971efababce2b26d!8m2!3d36.3537876!4d-109.6200618?hl=en",CT Survey,(928) 781-3605-10,(928) 781-3607,Executive,Community Development,,,,No,No,No,Yes,team 7,11/10/2017,PIST,,928-871-6520,Lewanda Ben,AMS,,Frontier,5,1,5.57 mbps,$185.92 ,$37.18 ,  ,,Copper,,5.57,,,,,,,,,,,,,,Frontier,3,$282.85 ,$94.28 ,,,,,,,No,,,,,Yes,"Verizon, T-Mobile. NTUAW, CellularOne",,,,,,Yes,3,,Yes,2,,no,,,no,,,Yes,2,Yes,Yes,3,no,,Yes,3,no,,Yes,1,No,,,Yes,2,,,,,Navajo nation,manyfarms@navajochapters.org,"IE, safari",,None,,none,,none,,,no,Yes,,,,,Y,Y,Y,N,N,Y,Y,N,Y,Y,N,N,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.35379,-109.620062
30,Chinle,Nazlini,Chapter House,Chapter House,Nazlini_Chapter House,,,,Latisha Lewis,joseph_lewis15@hotmail.com,(Vacant),,Cassandra,"Smith, Temp AA",NN Community Development,,,PO Box 7387,Indian Rte N 27 & Indian Rte 310,Nazlini,AZ,86540,35 53 53.1 N,109 26 41.6 W,6259.8,857GVHX4+62,"https://www.google.com/maps/search/nazlini+Chapter+house/@35.8993,-109.4495878,16.08z?hl=en",CT Survey,(928) 755-5900,(928) 755-5901,Executive,Community Development,,,,Yes,No,No,No,team 7,10/10/2017,PIST,,928-871-6520,Latisha Lewis,Administrative Assistant,,Frontier,5,1,0.00037,$391.62 ,$78.32 ,  ,,Copper,,0.00037,,,,,,,,,,,,,,Frontier,5,$285.00 ,$57.00 , AMC phone survey ,Copper,,,,,No,,,,,Yes,CellularOne,,,,,,Yes,,wireless connections,Yes,1,,no,,,no,,,Yes,1,Yes,Yes,7,,nazlini@chapters.org,Yes,5,no,,Yes,1,No,,,no,,,,,,Navajo nation,nazlini@navajochapters.org,"Safari, IE, Chrome",,None,,none,,none,,,no,Yes,,,,,Y,Y,N,N,N,N,N,N,Y,Y,N,Y,Network equipment,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.897919,-109.444683
31,Chinle,Pinon,Chapter House,Chapter House,Pinon_Chapter House,pinon.navajochapters.org,(928) 725-3710,8AM–5PM,MaryAnn Tsosie/ Sharon Begaye,piNonchapteros@navajochapter.org,Sharon,"Begay, CM",Mary Ann,"Tsosie, AA",Sylvia Jordan,sjordan@nncdc.org,,PO Box 127,Indian Rte 8030,Pinon,AZ,86510,36 6 6.36 N,110 13 15.8 W,6359.9,858F4Q2H+PH,"https://www.google.com/maps/place/Pinon+Chapter+House/@36.101797,-110.221616,19z/data=!3m1!4b1!4m5!3m4!1s0x87305177b150cba1:0xf6a2159425b0eb0b!8m2!3d36.1017957!4d-110.2210685?hl=en",CT Survey,(928) 725-3710,"(928) 725-3711,3720",Executive,Community Development,"Navajo route 8030, Pinon Az",,,Yes,no,no,Yes,Ferle Belingachee,18/10/2017,Sr. Information System Technician,fbelingachee@navajo-nsn.gov,928-871-6556,MaryAnn Tsosie,Administrative Assistant,,Frontier,,,,,  , $-   ,DK AMC phone survey,Copper,50.38.133.70,2.21,0.42,Durango CO,1.37,0.43,Durango CO,1.9,0.43,1.83,0.43,Durango CO,30,17,30,Frontier,3,, $-   ,,Copper,None,,,,Yes,Motorola,CERT (Emergency Response Lead),,,Yes,"NTUAW, CellularOne",Yes,"4G, LTE",,,,Yes,7,Includes frontier DSL; CAT 5/ CAT5e,no,,,Yes,,Cisco Linksys Business Series SRW2016,,,,Yes,1,no,Yes,4,no,"All in One: Bang and Olufsen, HP Compaq Elite 8300",Yes,3,no,"Epson GT550, Dell 1320C, HP LI Pro 440 color",Yes,1,No,0,,Yes,3,"APC SurgeArresr Personal, APC Back UPS 550",,,,navajochapter.org,,"Firefox, IE, Chrome",,Yes,1 staff only,MIP Found Accounting (abq),,WR MIS,Sylvia Jordan,,no,,Yes,,,,N,N,N,N,N,N,Y,N,N,Y,N,N,Phone Bill,N,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Yes,Post Office,,,,Yes,,,,,,,,,,,,,,"NTUA tower, WIC",36.101801,-110.221066
